gene_id,P1-1,P1-4,P2-1,P2-4,P3-1,P3-4,P4-1,P4-4,P5-1,P5-4
ENSG00000085465,22,35,21,16,14,25,25,25,10,13
ENSG00000085552,0,0,0,0,0,0,0,0,0,0
ENSG00000085563,4,18,10,14,7,8,5,12,7,0
ENSG00000085831,7,14,14,9,11,20,8,11,6,10
ENSG00000085840,0,4,0,0,0,0,5,0,0,0
ENSG00000086159,0,0,0,0,0,0,0,0,0,0
ENSG00000086205,3,0,0,0,0,0,0,0,0,0
ENSG00000086300,9,13,8,4,6,8,5,10,5,11
ENSG00000086506,0,0,0,0,0,0,0,0,0,0
ENSG00000086548,0,0,0,0,0,0,0,0,0,0
ENSG00000086570,12,22,4,4,2,9,2,5,0,5
ENSG00000086696,0,0,0,0,0,0,0,0,0,0
ENSG00000086717,0,3,0,0,0,0,0,0,0,0
ENSG00000086730,10,48,9,3,6,16,8,13,17,4
ENSG00000086991,6,22,15,0,3,11,9,8,0,4
ENSG00000087076,0,16,2,0,0,0,0,0,0,0
ENSG00000087128,0,0,0,0,0,0,0,0,0,0
ENSG00000087237,3,0,0,0,0,7,0,5,0,0
ENSG00000087250,4,5,4,6,3,3,5,2,2,5
ENSG00000087258,17,24,20,18,26,46,39,23,15,29
ENSG00000087301,19,45,31,26,20,22,28,35,21,37
ENSG00000087448,60,55,64,48,66,13,86,80,48,76
ENSG00000087494,0,16,8,0,0,2,0,6,0,5
ENSG00000087495,7,0,0,0,0,0,0,4,2,0
ENSG00000087510,0,0,0,0,0,0,0,0,0,0
ENSG00000087589,3,25,0,0,4,3,0,4,0,0
ENSG00000087903,49,81,21,15,31,26,17,11,8,71
ENSG00000088002,0,0,0,0,0,0,0,0,0,0
ENSG00000088305,8,12,4,7,4,7,0,9,3,4
ENSG00000088325,6,19,8,21,4,12,9,14,9,0
ENSG00000088340,4,9,0,0,0,0,3,4,4,10
ENSG00000088386,0,0,0,0,0,0,0,0,0,0
ENSG00000088538,36,53,65,52,27,43,50,50,37,26
ENSG00000088726,0,21,5,0,4,3,0,8,9,18
ENSG00000088782,0,0,0,0,0,0,0,0,0,0
ENSG00000088827,88,131,34,18,29,61,24,24,38,88
ENSG00000088926,2,3,5,3,3,0,3,8,0,4
ENSG00000089012,0,0,0,0,0,0,0,0,0,0
ENSG00000089041,7,19,7,5,13,24,13,15,9,10
ENSG00000089116,0,0,0,0,0,0,0,0,0,0
ENSG00000089169,0,0,4,0,0,0,0,0,0,0
ENSG00000089225,0,12,4,4,4,3,5,3,0,0
ENSG00000089472,3,56,14,6,7,17,25,22,3,11
ENSG00000089558,0,0,0,0,0,0,0,0,0,0
ENSG00000089639,9,18,8,3,0,18,6,7,15,18
ENSG00000089685,5,7,0,0,0,0,3,0,0,0
ENSG00000089692,0,7,0,0,0,0,0,3,0,0
ENSG00000089847,10,13,9,14,5,12,5,6,0,12
ENSG00000090104,20,29,0,0,4,8,3,8,3,25
ENSG00000090376,58,98,72,47,71,66,108,133,93,131
ENSG00000090402,0,0,0,0,0,0,0,0,0,0
ENSG00000090447,40,57,38,17,22,25,37,41,10,12
ENSG00000090530,10,43,34,12,25,22,14,10,9,15
ENSG00000090659,15,44,18,7,10,26,11,12,11,44
ENSG00000090932,0,0,0,0,0,0,0,0,0,0
ENSG00000090971,8,37,12,12,4,13,9,7,15,10
ENSG00000091106,16,18,7,7,10,5,19,8,3,11
ENSG00000091128,2,2,0,0,0,3,3,0,2,1
ENSG00000091129,10,85,0,0,0,9,0,3,2,0
ENSG00000091137,4,0,4,3,3,0,3,6,0,0
ENSG00000091138,0,0,0,2,0,0,0,0,0,0
ENSG00000091181,0,0,0,0,0,0,0,0,0,0
ENSG00000091262,81,44,66,69,28,31,68,64,131,138
ENSG00000091428,14,13,17,10,11,21,41,26,36,20
ENSG00000091513,2,16,7,7,4,3,19,6,0,2
ENSG00000091583,0,0,0,0,0,0,0,0,0,0
ENSG00000091622,5,22,19,9,20,16,19,18,6,10
ENSG00000091651,0,9,4,2,0,0,6,7,3,3
ENSG00000091664,0,0,0,0,0,0,0,0,0,0
ENSG00000091704,0,17,3,5,0,0,2,0,2,0
ENSG00000091844,0,12,0,0,0,0,4,4,0,3
ENSG00000091972,11,36,14,8,14,28,24,18,6,10
ENSG00000092067,0,0,0,0,0,0,0,0,0,0
ENSG00000092200,0,0,0,0,0,0,0,0,0,0
ENSG00000092295,0,3,0,4,5,0,0,0,0,0
ENSG00000092345,0,0,0,0,0,0,0,0,0,0
ENSG00000092377,3,5,2,5,2,5,8,8,3,6
ENSG00000092445,19,34,6,7,18,22,25,7,9,31
ENSG00000092470,4,13,5,6,3,2,0,10,0,5
ENSG00000092850,0,0,0,0,0,0,0,0,0,0
